ir,rmp,tau,amp,hw,thresh,Species,Strain,ElectrodeType,PrepType,JxnPotential,JxnOffset,Temp,Age,Weight,NeuronType,Title,PubYear,DataTableLinks,MetadataLink,LastAuthor
82,-77,nan,74.9,nan,-55.3,Rats,Wistar,Patch-clamp,in vitro,,NaN,22,40.5,150,Dentate gyrus granule cell,Effect of adrenalectomy on membrane properties and synaptic potentials in rat dentate granule cells.,2001,http://neuroelectro.org/data_table/1033/,http://neuroelectro.org/article/34581/metadata/,Karten Y
100,-70,nan,nan,nan,nan,Rats,Sprague-Dawley,Sharp,in vivo,,NaN,37,54.5,225,Dentate gyrus granule cell,In vivo intracellular analysis of granule cell axon reorganization in epileptic rats.,1999,http://neuroelectro.org/data_table/1241/,http://neuroelectro.org/article/34757/metadata/,Dudek FE
310,-71,22,nan,nan,-32,Rats,Sprague-Dawley,Patch-clamp,in vitro,,NaN,22.5,65,NaN,Dentate gyrus granule cell,Increased excitatory synaptic input to granule cells from hilar and CA3 regions in a rat model of temporal lobe epilepsy.,2012,http://neuroelectro.org/data_table/1477/,http://neuroelectro.org/article/34984/metadata/,Buckmaster PS
nan,nan,nan,nan,nan,nan,Macaca mulatta,,,in vitro,,NaN,34.5,NaN,NaN,Dentate gyrus granule cell,Stimulus and potassium-induced epileptiform activity in the human dentate gyrus from patients with and without hippocampal sclerosis.,2004,http://neuroelectro.org/data_table/2545/,http://neuroelectro.org/article/36691/metadata/,Lehmann TN
81.9,-75.5,7.48,77.5,nan,-46.7,Mice,C57BL,Sharp,in vitro,,NaN,33.5,105,NaN,Dentate gyrus granule cell,Physiological and morphological characterization of dentate granule cells in the p35 knock-out mouse hippocampus: evidence for an epileptic circuit.,2004,http://neuroelectro.org/data_table/2565/,http://neuroelectro.org/article/36709/metadata/,Schwartzkroin PA
57.5,-71.5,11.2,74.6,0.19,nan,Rats,Sprague-Dawley,Sharp,in vitro,,NaN,32.5,52,210,Dentate gyrus granule cell,Granule-like neurons at the hilar/CA3 border after status epilepticus and their synchrony with area CA3 pyramidal cells: functional implications of seizure-induced neurogenesis.,2000,http://neuroelectro.org/data_table/3129/,http://neuroelectro.org/article/37475/metadata/,Sollas AL
84,-77,nan,73,nan,nan,,,Sharp,in vivo,,NaN,37,210,NaN,Dentate gyrus granule cell,Testing the disinhibition hypothesis of epileptogenesis in vivo and during spontaneous seizures.,2000,http://neuroelectro.org/data_table/3136/,http://neuroelectro.org/article/37479/metadata/,Wong EH
351.3,-73.8,nan,nan,1.55,-37.3,Mice,C57BL,Patch-clamp,in vitro,,NaN,30,38.5,NaN,Dentate gyrus granule cell,Rapid reversal of impaired inhibitory and excitatory transmission but not spine dysgenesis in a mouse model of mental retardation.,2012,http://neuroelectro.org/data_table/10253/,http://neuroelectro.org/article/43536/metadata/,Jefferys JG
261.8,-75.3,23.2,109.7,1.07,-48.1,Rats,Sprague-Dawley,Patch-clamp,in vitro,Not corrected,-10,33,23,NaN,Dentate gyrus granule cell,Interneurons of the dentate-hilus border of the rat dentate gyrus: morphological and electrophysiological heterogeneity.,1997,"http://neuroelectro.org/data_table/14765/, http://neuroelectro.org/data_table/14766/, http://neuroelectro.org/data_table/14767/",http://neuroelectro.org/article/64862/metadata/,Lewis DV
166.2,-74.9,20.8,93.8,1.1,nan,Rats,Fischer 344,Patch-clamp,in vitro,,NaN,31.5,174,NaN,Dentate gyrus granule cell,Dentate filter function is altered in a proepileptic fashion during aging.,2007,http://neuroelectro.org/data_table/17704/,http://neuroelectro.org/article/74151/metadata/,Williamson A
1000,-62.8,nan,nan,nan,nan,Rats,Sprague-Dawley,Patch-clamp,in vitro,,NaN,22,17.5,NaN,Dentate gyrus granule cell,Experimental early-life febrile seizures induce changes in GABA(A) R-mediated neurotransmission in the dentate gyrus.,2012,http://neuroelectro.org/data_table/19409/,http://neuroelectro.org/article/76123/metadata/,Rigo JM
58,-66,18.3,nan,nan,nan,Rats,Wistar,Patch-clamp,in vitro,,NaN,33,3.5,NaN,Dentate gyrus granule cell,Heterogeneous populations of cells mediate spontaneous synchronous bursting in the developing hippocampus through a frequency-dependent mechanism.,2000,http://neuroelectro.org/data_table/22053/,http://neuroelectro.org/article/79240/metadata/,Sanchez-Andres JV
371,-65,35,nan,0.72,nan,Rats,Wistar,Patch-clamp,in vitro,,NaN,36,24,NaN,Dentate gyrus hilar cell,Specialized electrophysiological properties of anatomically identified neurons in the hilar region of the rat fascia dentata.,1998,http://neuroelectro.org/data_table/1324/,http://neuroelectro.org/article/23163/metadata/,Spruston N
89,-68,nan,nan,nan,nan,Guinea Pigs,Guinea Pigs,Sharp,in vitro,,NaN,32,NaN,NaN,Dentate gyrus hilar cell,Effects of serotonin through serotonin1A and serotonin4 receptors on inhibition in the guinea-pig dentate gyrus in vitro.,1997,http://neuroelectro.org/data_table/25607/,http://neuroelectro.org/article/33558/metadata/,Misgeld U
264,-52,nan,nan,nan,-50,Rats,Sprague-Dawley,Patch-clamp,in vitro,,NaN,22,48,NaN,Dentate gyrus hilar cell,Reduced excitatory drive onto interneurons in the dentate gyrus after status epilepticus.,2001,http://neuroelectro.org/data_table/3062/,http://neuroelectro.org/article/37390/metadata/,Dingledine R
198.6,-55.8,17.9,57.9,1.13,-40.2,Rats,Sprague-Dawley,Patch-clamp,in vitro,Not corrected,-10,33,23,NaN,Dentate gyrus hilar cell,Interneurons of the dentate-hilus border of the rat dentate gyrus: morphological and electrophysiological heterogeneity.,1997,"http://neuroelectro.org/data_table/14765/, http://neuroelectro.org/data_table/14766/, http://neuroelectro.org/data_table/14767/",http://neuroelectro.org/article/64862/metadata/,Lewis DV
199,-62,41,nan,0.78,nan,Rats,Wistar,Patch-clamp,in vitro,,NaN,36,24,NaN,Dentate gyrus mossy cell,Specialized electrophysiological properties of anatomically identified neurons in the hilar region of the rat fascia dentata.,1998,http://neuroelectro.org/data_table/1324/,http://neuroelectro.org/article/23163/metadata/,Spruston N
79,-67,20.6,nan,nan,nan,Rats,Wistar,Patch-clamp,in vitro,,NaN,33,3.5,NaN,Dentate gyrus mossy cell,Heterogeneous populations of cells mediate spontaneous synchronous bursting in the developing hippocampus through a frequency-dependent mechanism.,2000,http://neuroelectro.org/data_table/22053/,http://neuroelectro.org/article/79240/metadata/,Sanchez-Andres JV
400,nan,nan,nan,nan,nan,Rats,Sprague-Dawley,Patch-clamp,in vitro,,NaN,35,12,NaN,Dorsal motor nucleus of vagus motor neuron,Electrophysiological and morphological heterogeneity of rat dorsal vagal neurones which project to specific areas of the gastrointestinal tract.,1999,"http://neuroelectro.org/data_table/8234/, http://neuroelectro.org/data_table/8235/",http://neuroelectro.org/article/25379/metadata/,Travagli RA
336,-48,nan,nan,nan,nan,Rats,Sprague-Dawley,Patch-clamp,in vitro,,NaN,34,42,NaN,Dorsal motor nucleus of vagus motor neuron,Selective enhancement of synaptic inhibition by hypocretin (orexin) in rat vagal motor neurons: implications for autonomic regulation.,2003,http://neuroelectro.org/data_table/2773/,http://neuroelectro.org/article/37027/metadata/,Smith BN
357,-45,nan,nan,nan,nan,Rats,Sprague-Dawley,Patch-clamp,in vitro,,NaN,34,42,NaN,Dorsal motor nucleus of vagus motor neuron,Cannabinoids suppress synaptic input to neurones of the rat dorsal motor nucleus of the vagus nerve.,2004,http://neuroelectro.org/data_table/10606/,http://neuroelectro.org/article/44629/metadata/,Smith BN
403.5,nan,nan,nan,nan,nan,Rats,Sprague-Dawley,Patch-clamp,in vitro,,NaN,35,23.5,NaN,Dorsal motor nucleus of vagus motor neuron,Morphological differences between planes of section do not influence the electrophysiological properties of identified rat dorsal motor nucleus of the vagus neurons.,2004,http://neuroelectro.org/data_table/25372/,http://neuroelectro.org/article/83612/metadata/,Travagli RA
349.4,-57.9,nan,74,1.8,nan,Rats,Wistar,Patch-clamp,in vitro,,NaN,32,12.5,29,Dorsal motor nucleus of vagus motor neuron,Substance P post-synaptically potentiates glutamate-induced currents in dorsal vagal neurons.,1998,http://neuroelectro.org/data_table/26112/,http://neuroelectro.org/article/84575/metadata/,Puizillout JJ
