ir,rmp,tau,amp,hw,thresh,Species,Strain,ElectrodeType,PrepType,JxnPotential,JxnOffset,Temp,Age,Weight,NeuronType,Title,PubYear,DataTableLinks,MetadataLink,LastAuthor
198,-82,nan,nan,0.5,nan,Mice,C57BL,Patch-clamp,in vitro,,NaN,22,28,NaN,Neostriatum gabaergic interneuron,Distinct roles of GABAergic interneurons in the regulation of striatal output pathways.,2010,http://neuroelectro.org/data_table/1835/,http://neuroelectro.org/article/35512/metadata/,Kreitzer AC
287,-64.5,nan,57.1,nan,nan,Rats,Sprague-Dawley,Patch-clamp,cell culture,,NaN,35.5,1,NaN,Neostriatum gabaergic interneuron,Quantitative estimate of synaptic inputs to striatal neurons during up and down states in vitro.,2003,http://neuroelectro.org/data_table/2699/,http://neuroelectro.org/article/36921/metadata/,Plenz D
87,-64,8,29,0.7,-45,Rats,Sprague-Dawley,Sharp,cell culture,,NaN,36.5,1,NaN,Neostriatum gabaergic interneuron,Up and down states in striatal medium spiny neurons simultaneously recorded with spontaneous activity in fast-spiking interneurons studied in cortex-striatum-substantia nigra organotypic cultures.,1998,http://neuroelectro.org/data_table/3439/,http://neuroelectro.org/article/37862/metadata/,Kitai ST
209.7,-72.8,nan,46.3,nan,nan,Rats,Sprague-Dawley,Patch-clamp,in vitro,Corrected,NaN,32,16.5,NaN,Neostriatum gabaergic interneuron,Cell-specific spike-timing-dependent plasticity in GABAergic and cholinergic interneurons in corticostriatal rat brain slices.,2008,http://neuroelectro.org/data_table/10072/,http://neuroelectro.org/article/43018/metadata/,Venance L
71.8,-86.4,nan,75.2,nan,-48.1,Rats,Wistar,Sharp,in vitro,,NaN,35,26,NaN,Neostriatum medium spiny neuron,Inhibitory interactions between spiny projection neurons in the rat striatum.,2002,http://neuroelectro.org/data_table/901/,http://neuroelectro.org/article/34445/metadata/,Wickens JR
26.7,-81,15.6,64.3,0.85,-43.9,Mice,C57BL,Sharp,in vitro,,NaN,31.5,39.5,NaN,Neostriatum medium spiny neuron,Electrophysiological and morphological changes in striatal spiny neurons in R6/2 Huntington's disease transgenic mice.,2001,http://neuroelectro.org/data_table/947/,http://neuroelectro.org/article/34502/metadata/,Levine MS
36.5,-95.3,nan,nan,nan,-53.7,Rats,Wistar,Sharp,in vitro,,NaN,35,49,215,Neostriatum medium spiny neuron,Dopamine D-1/D-5 receptor activation is required for long-term potentiation in the rat neostriatum in vitro.,2001,http://neuroelectro.org/data_table/1040/,http://neuroelectro.org/article/34589/metadata/,Wickens JR
348.5,-73,nan,44.1,nan,-31.85,Songbirds,,Patch-clamp,in vitro,Corrected,NaN,22,51,NaN,Neostriatum medium spiny neuron,Electrophysiological properties of avian basal ganglia neurons recorded in vitro.,2000,http://neuroelectro.org/data_table/1070/,http://neuroelectro.org/article/34607/metadata/,Perkel DJ
142,-92,nan,nan,1.5,nan,Mice,C57BL,Patch-clamp,in vitro,,NaN,22,28,NaN,Neostriatum medium spiny neuron,Distinct roles of GABAergic interneurons in the regulation of striatal output pathways.,2010,http://neuroelectro.org/data_table/1835/,http://neuroelectro.org/article/35512/metadata/,Kreitzer AC
139,-83.5,nan,nan,1.04,-33.9,Rats,Wistar,Patch-clamp,in vitro,Not corrected,-13,32,20.5,NaN,Neostriatum medium spiny neuron,Dopamine receptor activation is required for corticostriatal spike-timing-dependent plasticity.,2008,http://neuroelectro.org/data_table/2087/,http://neuroelectro.org/article/35940/metadata/,Kerr JN
31.3,-78.75,nan,67.05,nan,-45.45,Rats,Sprague-Dawley,Sharp,in vivo,,NaN,37,84,362.5,Neostriatum medium spiny neuron,The nitric oxide-guanylyl cyclase signaling pathway modulates membrane activity States and electrophysiological properties of striatal medium spiny neurons recorded in vivo.,2004,"http://neuroelectro.org/data_table/2637/, http://neuroelectro.org/data_table/2638/",http://neuroelectro.org/article/36837/metadata/,Grace AA
341,-79.2,nan,61.5,nan,nan,Rats,Sprague-Dawley,Patch-clamp,cell culture,,NaN,35.5,1,NaN,Neostriatum medium spiny neuron,Quantitative estimate of synaptic inputs to striatal neurons during up and down states in vitro.,2003,http://neuroelectro.org/data_table/2699/,http://neuroelectro.org/article/36921/metadata/,Plenz D
233,-81.6,nan,39.9,nan,-34.3,Songbirds,,Patch-clamp,in vitro,,NaN,25,NaN,NaN,Neostriatum medium spiny neuron,Dopamine modulates excitability of spiny neurons in the avian basal ganglia.,2002,http://neuroelectro.org/data_table/2891/,http://neuroelectro.org/article/37203/metadata/,Perkel DJ
121,-75,13,47,1.4,-46,Rats,Sprague-Dawley,Sharp,cell culture,,NaN,36.5,1,NaN,Neostriatum medium spiny neuron,Up and down states in striatal medium spiny neurons simultaneously recorded with spontaneous activity in fast-spiking interneurons studied in cortex-striatum-substantia nigra organotypic cultures.,1998,http://neuroelectro.org/data_table/3439/,http://neuroelectro.org/article/37862/metadata/,Kitai ST
225.7,-75.3,nan,68.5,nan,nan,Rats,Sprague-Dawley,Patch-clamp,in vitro,Corrected,NaN,32,16.5,NaN,Neostriatum medium spiny neuron,Cell-specific spike-timing-dependent plasticity in GABAergic and cholinergic interneurons in corticostriatal rat brain slices.,2008,http://neuroelectro.org/data_table/10072/,http://neuroelectro.org/article/43018/metadata/,Venance L
nan,nan,nan,nan,nan,-33.5,Rats,Sprague-Dawley,Patch-clamp,in vitro,Not corrected,-8,22,7,NaN,Neostriatum medium spiny neuron,P2Y1 receptor modulation of Ca2+-activated K+ currents in medium-sized neurons from neonatal rat striatal slices.,2012,http://neuroelectro.org/data_table/7610/,http://neuroelectro.org/article/50667/metadata/,Gibb AJ
26.3,nan,nan,56.4,nan,nan,Rats,Sprague-Dawley,Sharp,in vivo,,NaN,37,84,305,Neostriatum medium spiny neuron,Regulation of action-potential firing in spiny neurons of the rat neostriatum in vivo.,1998,http://neuroelectro.org/data_table/10193/,http://neuroelectro.org/article/53902/metadata/,Wilson CJ
47.4,-87.5,nan,47.7,nan,-51,Rats,Sprague-Dawley,Sharp,in vivo,,NaN,37,40,NaN,Neostriatum medium spiny neuron,NMDA receptor gating of information flow through the striatum in vivo.,2008,http://neuroelectro.org/data_table/12811/,http://neuroelectro.org/article/60501/metadata/,Murer MG
830,-61,nan,nan,1.3,nan,Mice,C57BL,Patch-clamp,in vitro,,NaN,22,28,NaN,Neostriatum SOM/NOS cell,Distinct roles of GABAergic interneurons in the regulation of striatal output pathways.,2010,http://neuroelectro.org/data_table/1835/,http://neuroelectro.org/article/35512/metadata/,Kreitzer AC
520.5,-70.65,nan,73.65,1.09,-50.1,Mice,C57BL,Patch-clamp,in vitro,Corrected,NaN,30,11,NaN,Neostriatum TH+ cell,Postnatal development of tyrosine hydroxylase mRNA-expressing neurons in mouse neostriatum.,2011,http://neuroelectro.org/data_table/19580/,http://neuroelectro.org/article/29280/metadata/,Aosaki T
85.4,-85.8,5.2,nan,nan,-49.7,Rats,Sprague-Dawley,Sharp,in vivo,,NaN,37,49,190.5,Nucleus accumbens core neuron,Selective disruption of nucleus accumbens gating mechanisms in rats behaviorally sensitized to methamphetamine.,2005,http://neuroelectro.org/data_table/2452/,http://neuroelectro.org/article/36548/metadata/,O'Donnell P
203,-74.5,20,52,nan,-33,Rats,Wistar,Patch-clamp,in vitro,,NaN,32,26.5,NaN,Nucleus accumbens medium spiny neuron,Direct physiological evidence for synaptic connectivity between medium-sized spiny neurons in rat nucleus accumbens in situ.,2004,http://neuroelectro.org/data_table/753/,http://neuroelectro.org/article/34329/metadata/,Pennartz CM
nan,-81.8,nan,72.4,1.4,-42.8,Mice,C57BL,Patch-clamp,in vitro,,NaN,30,40,NaN,Nucleus accumbens medium spiny neuron,"Cdk5 modulates cocaine reward, motivation, and striatal neuron excitability.",2007,http://neuroelectro.org/data_table/2119/,http://neuroelectro.org/article/36018/metadata/,Bibb JA
nan,-93.5,nan,68.5,1.3,-46.4,Rats,Sprague-Dawley,Patch-clamp,in vitro,Corrected,NaN,33.5,14,NaN,Nucleus accumbens medium spiny neuron,Maturation of excitatory synaptic transmission of the rat nucleus accumbens from juvenile to adult.,2009,http://neuroelectro.org/data_table/11696/,http://neuroelectro.org/article/55466/metadata/,Manzoni OJ
128.65,-79.02,nan,74.86,1.09,-33.93,Mice,C57BL,Patch-clamp,in vitro,,NaN,34,122.5,NaN,Nucleus accumbens medium spiny neuron,Upregulation of Npas4 protein expression by chronic administration of amphetamine in rat nucleus accumbens in vivo.,2012,http://neuroelectro.org/data_table/23223/,http://neuroelectro.org/article/80760/metadata/,Wang JQ
128.65,-79.02,nan,74.86,1.09,-33.93,Mice,C57BL,Patch-clamp,in vitro,,NaN,34,122.5,NaN,Nucleus accumbens medium spiny neuron,Fos regulates neuronal activity in the nucleus accumbens.,2008,http://neuroelectro.org/data_table/25989/,http://neuroelectro.org/article/84405/metadata/,Xu M
63.17,nan,nan,79.43,nan,-45.54,Rats,Wistar,Patch-clamp,in vitro,,NaN,31.5,87.5,350,Nucleus accumbens medium spiny neuron,The endocannabinoid 2-arachidonoylglycerol mediates D1 and D2 receptor cooperative enhancement of rat nucleus accumbens core neuron firing.,2011,http://neuroelectro.org/data_table/26062/,http://neuroelectro.org/article/84502/metadata/,Hopf FW
130.4,-82.55,nan,nan,nan,-31.97,Rats,Long-Evans,Patch-clamp,in vitro,,NaN,32.5,31.5,NaN,Nucleus accumbens shell neuron,Exposure to cocaine dynamically regulates the intrinsic membrane excitability of nucleus accumbens neurons.,2010,"http://neuroelectro.org/data_table/1817/, http://neuroelectro.org/data_table/1818/, http://neuroelectro.org/data_table/1819/",http://neuroelectro.org/article/35490/metadata/,Dong Y
53.8,-87.3,5.9,nan,nan,-48.3,Rats,Sprague-Dawley,Sharp,in vivo,,NaN,37,49,190.5,Nucleus accumbens shell neuron,Selective disruption of nucleus accumbens gating mechanisms in rats behaviorally sensitized to methamphetamine.,2005,http://neuroelectro.org/data_table/2452/,http://neuroelectro.org/article/36548/metadata/,O'Donnell P
246.6,-70.3,nan,85.5,nan,-40.8,Mice,C57BL,Patch-clamp,in vitro,Not corrected,15,23.5,8,NaN,Nucleus ambiguus motor neuron,Maternal diabetes increases small conductance Ca2+-activated K+ (SK) currents that alter action potential properties and excitability of cardiac motoneurons in the nucleus ambiguus.,2010,http://neuroelectro.org/data_table/133/,http://neuroelectro.org/article/23482/metadata/,Cheng ZJ
789,-69.5,nan,nan,nan,nan,Rats,Wistar,Patch-clamp,in vitro,Corrected,NaN,22,19.5,NaN,Nucleus of the solitary tract principal cell,Localization and function of the Kv3.1b subunit in the rat medulla oblongata: focus on the nucleus tractus solitarii.,2005,http://neuroelectro.org/data_table/7740/,http://neuroelectro.org/article/3449/metadata/,Deuchars J
297.6,-52.7,nan,51.6,1.1,nan,Rats,Sprague-Dawley,Patch-clamp,in vitro,,NaN,22,34,120,Nucleus of the solitary tract principal cell,Properties of solitary tract neurones responding to peripheral arterial chemoreceptors.,2001,http://neuroelectro.org/data_table/23331/,http://neuroelectro.org/article/11674/metadata/,Kasparov S
700,-56,41,61,1.7,-39,Rats,Sprague-Dawley,Patch-clamp,in vitro,Corrected,NaN,32,17,NaN,Nucleus of the solitary tract principal cell,"Pre- and postnatal differences in membrane, action potential, and ion channel properties of rostral nucleus of the solitary tract neurons.",2011,http://neuroelectro.org/data_table/43/,http://neuroelectro.org/article/33724/metadata/,Bradley RM
nan,nan,nan,nan,nan,nan,Rats,Wistar,Patch-clamp,in vitro,,NaN,22,17.5,NaN,Nucleus of the solitary tract principal cell,Subdivision-specific responses of neurons in the nucleus of the tractus solitarius to activation of mu-opioid receptors in the rat.,2007,http://neuroelectro.org/data_table/346/,http://neuroelectro.org/article/34002/metadata/,Deuchars SA
nan,nan,nan,67.32,1.19,-34.66,Mice,C57BL,Patch-clamp,in vitro,,NaN,32,35,NaN,Nucleus of the solitary tract principal cell,Exogenous brain-derived neurotrophic factor rescues synaptic dysfunction in Mecp2-null mice.,2010,http://neuroelectro.org/data_table/1803/,http://neuroelectro.org/article/35464/metadata/,Katz DM
160.8,nan,13.5,62.1,0.53,-39.8,Rats,Wistar,Patch-clamp,in vitro,,NaN,32.5,35,NaN,Olfactory bulb (main) Blanes cell,Distinct deep short-axon cell subtypes of the main olfactory bulb provide novel intrabulbar and extrabulbar GABAergic connections.,2008,,http://neuroelectro.org/article/35838/metadata/,Nusser Z
260,-53.9,nan,63,2.09,-41.1,Rats,Sprague-Dawley,Patch-clamp,in vitro,Not corrected,NaN,30,19,NaN,Olfactory bulb (main) Blanes cell,Blanes cells mediate persistent feedforward inhibition onto granule cells in the olfactory bulb.,2006,,http://neuroelectro.org/article/79946/metadata/,Strowbridge BW
nan,nan,nan,38.1,nan,-46.6,Mice,C57BL,Patch-clamp,in vivo,,NaN,36,27.5,NaN,Olfactory bulb (main) Blanes cell,Tonic inhibition sets the state of excitability in olfactory bulb granule cells.,2013,,http://neuroelectro.org/article/85543/metadata/,Angelo K
313,-66,nan,81.8,2.03,-39.9,Rats,Sprague-Dawley,Patch-clamp,in vitro,,NaN,30,19.5,NaN,Olfactory bulb (main) Blanes cell,Voltage-dependent intrinsic bursting in olfactory bulb Golgi cells.,2013,,http://neuroelectro.org/article/85548/metadata/,Strowbridge BW
194,-52.9,nan,nan,nan,-46.5,Rats,Sprague-Dawley,Patch-clamp,in vitro,Not corrected,NaN,30,25,NaN,Olfactory bulb (main) external tufted cell,Olfactory bulb glomeruli: external tufted cells intrinsically burst at theta frequency and are entrained by patterned olfactory input.,2004,,http://neuroelectro.org/article/13617/metadata/,Ennis M
241.4,-51.3,nan,nan,nan,-46.9,Mice,C57BL,Patch-clamp,in vitro,Not corrected,NaN,30,38.5,NaN,Olfactory bulb (main) external tufted cell,Multiple conductances cooperatively regulate spontaneous bursting in mouse olfactory bulb external tufted cells.,2008,,http://neuroelectro.org/article/24867/metadata/,Shipley MT
185,nan,nan,nan,nan,nan,Rats,Wistar,Patch-clamp,in vitro,,NaN,23,31.5,NaN,Olfactory bulb (main) external tufted cell,Calcium permeable AMPA receptors and autoreceptors in external tufted cells of rat olfactory bulb.,2007,,http://neuroelectro.org/article/31115/metadata/,Lowe G
262,nan,nan,nan,nan,nan,Mice,C57BL,Patch-clamp,in vitro,Not corrected,NaN,30,49,NaN,Olfactory bulb (main) external tufted cell,Serotonin modulates the population activity profile of olfactory bulb external tufted cells.,2012,,http://neuroelectro.org/article/32141/metadata/,Shipley MT
125,nan,nan,nan,nan,nan,Mice,C57BL,Patch-clamp,in vitro,,NaN,32,22,NaN,Olfactory bulb (main) external tufted cell,External tufted cells drive the output of olfactory bulb glomeruli.,2009,,http://neuroelectro.org/article/65000/metadata/,Charpak S
nan,nan,13.6,nan,nan,-36.1,Rats,Wistar,Patch-clamp,in vitro,,NaN,34.5,52,NaN,Olfactory bulb (main) external tufted cell,External tufted cells in the main olfactory bulb form two distinct subpopulations.,2006,,http://neuroelectro.org/article/76870/metadata/,Nusser Z
197,nan,nan,nan,nan,nan,Mice,C57BL,Patch-clamp,in vitro,Corrected,NaN,29,20,NaN,Olfactory bulb (main) external tufted cell,Cortical feedback control of olfactory bulb circuits.,2012,,http://neuroelectro.org/article/84771/metadata/,Isaacson JS
1200,-64.5,nan,nan,nan,nan,Rats,Sprague-Dawley,Patch-clamp,in vitro,,NaN,30,21,NaN,Olfactory bulb (main) granule cell,Activation of alpha1 and alpha2 noradrenergic receptors exert opposing effects on excitability of main olfactory bulb granule cells.,2010,,http://neuroelectro.org/article/11711/metadata/,Ennis M
810,-69.3,30,nan,nan,nan,Rats,Sprague-Dawley,Patch-clamp,in vitro,Corrected,NaN,21,13,NaN,Olfactory bulb (main) granule cell,Mechanisms of lateral inhibition in the olfactory bulb: efficiency and modulation of spike-evoked calcium influx into granule cells.,2003,,http://neuroelectro.org/article/29496/metadata/,Mainen ZF
nan,-72,nan,nan,nan,nan,Rats,Sprague-Dawley,Patch-clamp,in vitro,Corrected,NaN,21,13,NaN,Olfactory bulb (main) granule cell,Dendrodendritic synaptic signals in olfactory bulb granule cells: local spine boost and global low-threshold spike.,2005,,http://neuroelectro.org/article/36606/metadata/,Mainen ZF
332,-63,nan,nan,nan,-47.2,Rats,Sprague-Dawley,Patch-clamp,in vivo,Corrected,NaN,36,15,NaN,Olfactory bulb (main) granule cell,In vivo whole-cell recording of odor-evoked synaptic transmission in the rat olfactory bulb.,2003,,http://neuroelectro.org/article/37019/metadata/,Isaacson JS
980,-66,59,nan,nan,nan,Rats,Sprague-Dawley,Patch-clamp,in vitro,Corrected,NaN,22,12.5,NaN,Olfactory bulb (main) granule cell,Dendrodendritic inhibition in the olfactory bulb is driven by NMDA receptors.,1998,,http://neuroelectro.org/article/37783/metadata/,Westbrook GL
830,-76,nan,38,nan,nan,Rats,Sprague-Dawley,Patch-clamp,in vitro,,NaN,21,13.5,NaN,Olfactory bulb (main) granule cell,Synaptic sodium spikes trigger long-lasting depolarizations and slow calcium entry in rat olfactory bulb granule cells.,2008,,http://neuroelectro.org/article/75008/metadata/,Egger V
463,-65.7,nan,nan,2.09,-27.2,Rats,Sprague-Dawley,Patch-clamp,in vitro,Not corrected,NaN,30,19,NaN,Olfactory bulb (main) granule cell,Blanes cells mediate persistent feedforward inhibition onto granule cells in the olfactory bulb.,2006,,http://neuroelectro.org/article/79946/metadata/,Strowbridge BW
nan,-79,nan,nan,nan,nan,Mice,C57BL,Patch-clamp,in vitro,,NaN,24.5,55,NaN,Olfactory bulb (main) granule cell,Synaptic inhibition in the olfactory bulb accelerates odor discrimination in mice.,2010,,http://neuroelectro.org/article/81231/metadata/,Kuner T
429,-71,nan,nan,nan,nan,Mice,C57BL,Patch-clamp,in vivo,,NaN,36,28,NaN,Olfactory bulb (main) granule cell,Theta oscillation coupled spike latencies yield computational vigour in a mammalian sensory system.,2003,,http://neuroelectro.org/article/85542/metadata/,Schaefer AT
384,nan,nan,31,nan,-39.2,Mice,C57BL,Patch-clamp,in vivo,,NaN,36,27.5,NaN,Olfactory bulb (main) granule cell,Tonic inhibition sets the state of excitability in olfactory bulb granule cells.,2013,,http://neuroelectro.org/article/85543/metadata/,Angelo K
1070,-79,nan,nan,1.9,nan,Mice,C57BL,Patch-clamp,in vitro,,NaN,21,19.5,NaN,Olfactory bulb (main) granule cell,NMDA receptor-dependent synaptic activation of TRPC channels in olfactory bulb granule cells.,2012,,http://neuroelectro.org/article/85544/metadata/,Egger V
789,-67.3,nan,60.5,2.08,-22.2,Rats,Sprague-Dawley,Patch-clamp,in vitro,,NaN,30,19.5,NaN,Olfactory bulb (main) granule cell,Voltage-dependent intrinsic bursting in olfactory bulb Golgi cells.,2013,,http://neuroelectro.org/article/85548/metadata/,Strowbridge BW
nan,-64.3,nan,nan,nan,nan,Rats,Sprague-Dawley,Patch-clamp,in vitro,,NaN,30,17.5,NaN,Olfactory bulb (main) mitral cell,Opposing inward and outward conductances regulate rebound discharges in olfactory mitral cells.,2007,,http://neuroelectro.org/article/10777/metadata/,Strowbridge BW
208.7,nan,nan,nan,nan,-33.4,Rats,Sprague-Dawley,Patch-clamp,in vitro,Not corrected,NaN,30,19.5,NaN,Olfactory bulb (main) mitral cell,Muscarinic receptor activation modulates granule cell excitability and potentiates inhibition onto mitral cells in the rat olfactory bulb.,2007,,http://neuroelectro.org/article/12666/metadata/,Strowbridge BW
nan,-53.4,nan,nan,nan,nan,Rats,Sprague-Dawley,Patch-clamp,in vitro,,NaN,30,20,NaN,Olfactory bulb (main) mitral cell,Direct excitation of mitral cells via activation of alpha1-noradrenergic receptors in rat olfactory bulb slices.,2001,,http://neuroelectro.org/article/12758/metadata/,Ennis M
32.9,-65.4,nan,nan,nan,nan,Rats,Sprague-Dawley,Patch-clamp,in vitro,,NaN,35,30,NaN,Olfactory bulb (main) mitral cell,Membrane and synaptic properties of mitral cells in slices of rat olfactory bulb.,1997,,http://neuroelectro.org/article/30529/metadata/,Shepherd GM
107,nan,nan,nan,nan,nan,Rats,Sprague-Dawley,Patch-clamp,in vitro,,NaN,30.5,18.5,NaN,Olfactory bulb (main) mitral cell,Both electrical and chemical synapses mediate fast network oscillations in the olfactory bulb.,2003,,http://neuroelectro.org/article/34391/metadata/,Strowbridge BW
nan,-63.6,nan,nan,nan,nan,Rats,Wistar,Sharp,in vitro,,NaN,21,19.5,NaN,Olfactory bulb (main) mitral cell,Tonic and synaptically evoked presynaptic inhibition of sensory input to the rat olfactory bulb via GABA(B) heteroreceptors.,2000,,http://neuroelectro.org/article/34624/metadata/,Shipley MT
nan,-51.3,nan,nan,nan,nan,Rats,Sprague-Dawley,Patch-clamp,in vivo,,NaN,37,80.5,NaN,Olfactory bulb (main) mitral cell,Respiration drives network activity and modulates synaptic and circuit processing of lateral inhibition in the olfactory bulb.,2012,http://neuroelectro.org/data_table/1485/,http://neuroelectro.org/article/35000/metadata/,Shepherd GM
115,-56,22,nan,nan,nan,Rats,Sprague-Dawley,Patch-clamp,in vivo,Corrected,NaN,36,15,NaN,Olfactory bulb (main) mitral cell,In vivo whole-cell recording of odor-evoked synaptic transmission in the rat olfactory bulb.,2003,,http://neuroelectro.org/article/37019/metadata/,Isaacson JS
124,-61.5,nan,nan,nan,-49.5,Rats,Sprague-Dawley,Patch-clamp,in vitro,,NaN,30,37.5,NaN,Olfactory bulb (main) mitral cell,Membrane bistability in olfactory bulb mitral cells.,2001,,http://neuroelectro.org/article/37352/metadata/,Shipley MT
128,-62.7,19,nan,1.98,nan,Rats,Wistar,Sharp,in vitro,,NaN,21,35,NaN,Olfactory bulb (main) mitral cell,Control of action potential timing by intrinsic subthreshold oscillations in olfactory bulb output neurons.,1999,,http://neuroelectro.org/article/37579/metadata/,Lledo PM
47.4,-55,nan,nan,nan,nan,Mice,C57BL,Patch-clamp,in vitro,,NaN,36,23.5,NaN,Olfactory bulb (main) mitral cell,Glutamatergic transmission and plasticity between olfactory bulb mitral cells.,2008,,http://neuroelectro.org/article/38352/metadata/,Margrie TW
236,-63.5,nan,75,1.65,nan,Rats,Wistar,Patch-clamp,in vitro,Not corrected,NaN,23,17,NaN,Olfactory bulb (main) mitral cell,Action potential propagation into the presynaptic dendrites of rat mitral cells.,1997,,http://neuroelectro.org/article/40308/metadata/,Jonas P
118,nan,nan,nan,nan,nan,Mice,C57BL,Patch-clamp,in vivo,,NaN,36,40,NaN,Olfactory bulb (main) mitral cell,Two distinct channels of olfactory bulb output.,2012,,http://neuroelectro.org/article/78142/metadata/,Schaefer AT
59,-57,nan,nan,nan,nan,Mice,C57BL,Patch-clamp,in vitro,,NaN,24.5,55,NaN,Olfactory bulb (main) mitral cell,Synaptic inhibition in the olfactory bulb accelerates odor discrimination in mice.,2010,,http://neuroelectro.org/article/81231/metadata/,Kuner T
68,nan,nan,nan,nan,nan,Mice,C57BL,Patch-clamp,in vitro,,NaN,33.5,17.5,NaN,Olfactory bulb (main) mitral cell,Connexin36 mediates spike synchrony in olfactory bulb glomeruli.,2005,,http://neuroelectro.org/article/82769/metadata/,Westbrook GL
299,nan,42.5,nan,nan,nan,Mice,C57BL,Patch-clamp,in vitro,,NaN,23,126,NaN,Olfactory bulb (main) mitral cell,Distinct intrinsic membrane properties determine differential information processing between main and accessory olfactory bulb mitral cells.,2011,,http://neuroelectro.org/article/84420/metadata/,Wagner S
nan,nan,nan,67,nan,nan,Rats,Sprague-Dawley,Patch-clamp,in vitro,,NaN,23.5,24.5,NaN,Olfactory bulb (main) mitral cell,Olfactory reciprocal synapses: dendritic signaling in the CNS.,1998,,http://neuroelectro.org/article/85538/metadata/,Strowbridge BW
nan,-53.8,nan,nan,nan,nan,Rats,Sprague-Dawley,Patch-clamp,in vitro,,NaN,32,20.5,NaN,Olfactory bulb (main) mitral cell,Age-dependent adrenergic actions in the main olfactory bulb that could underlie an olfactory-sensitive period.,2012,,http://neuroelectro.org/article/85539/metadata/,Schoppa NE
103,nan,nan,nan,nan,nan,Rats,Sprague-Dawley,Patch-clamp,in vivo,Not corrected,NaN,36,23,NaN,Olfactory bulb (main) mitral cell,Population diversity and function of hyperpolarization-activated current in olfactory bulb mitral cells.,2011,,http://neuroelectro.org/article/85540/metadata/,Margrie TW
214,-49,nan,nan,nan,nan,Rats,Wistar,Patch-clamp,in vitro,Corrected,NaN,32,25,NaN,Olfactory bulb (main) mitral cell,GABA(B) receptor-mediated inhibition of mitral/tufted cell activity in the rat olfactory bulb: a whole-cell patch-clamp study in vitro.,2002,,http://neuroelectro.org/article/85541/metadata/,Duchamp A
240,-61.65,nan,nan,nan,nan,Mice,C57BL,Patch-clamp,in vitro,,NaN,23,98,NaN,Olfactory bulb (main) mitral cell,Calcium-activated sustained firing responses distinguish accessory from main olfactory bulb mitral cells.,2012,,http://neuroelectro.org/article/85545/metadata/,Wagner S
19,nan,14,nan,nan,nan,Mice,C57BL,Patch-clamp,in vitro,Not corrected,NaN,35,21,NaN,Olfactory bulb (main) mitral cell,"A simple method of in vitro electroporation allows visualization, recording, and calcium imaging of local neuronal circuits.",2010,,http://neuroelectro.org/article/85549/metadata/,Urban NN
567,-65,nan,nan,nan,nan,Rats,Sprague-Dawley,Patch-clamp,in vitro,Not corrected,NaN,30,25,NaN,Olfactory bulb (main) periglomerular cell,Olfactory bulb glomeruli: external tufted cells intrinsically burst at theta frequency and are entrained by patterned olfactory input.,2004,,http://neuroelectro.org/article/13617/metadata/,Ennis M
813,-51,nan,nan,nan,nan,Rats,Wistar,Patch-clamp,in vitro,Corrected,NaN,27,14,NaN,Olfactory bulb (main) periglomerular cell,Functional heterogeneity of periglomerular cells in the rat olfactory bulb.,1998,,http://neuroelectro.org/article/25710/metadata/,Belluzzi O
673,-57,nan,nan,nan,nan,Mice,C57BL,Patch-clamp,in vitro,,NaN,30,42,NaN,Olfactory bulb (main) periglomerular cell,Two GABAergic intraglomerular circuits differentially regulate tonic and phasic presynaptic inhibition of olfactory nerve terminals.,2009,,http://neuroelectro.org/article/33909/metadata/,Shipley MT
nan,-47.8,nan,nan,nan,nan,Rats,Sprague-Dawley,Patch-clamp,in vivo,,NaN,37,80.5,NaN,Olfactory bulb (main) tufted cell (middle),Respiration drives network activity and modulates synaptic and circuit processing of lateral inhibition in the olfactory bulb.,2012,http://neuroelectro.org/data_table/1485/,http://neuroelectro.org/article/35000/metadata/,Shepherd GM
nan,nan,27.8,nan,nan,-33.3,Rats,Wistar,Patch-clamp,in vitro,,NaN,34.5,52,NaN,Olfactory bulb (main) tufted cell (middle),External tufted cells in the main olfactory bulb form two distinct subpopulations.,2006,,http://neuroelectro.org/article/76870/metadata/,Nusser Z
55,-76.3,10.1,92.9,0.76,-41.5,Mice,C57BL,Patch-clamp,in vitro,Not corrected,-7,34,21.5,NaN,Olfactory cortex pyramidal cell,Two layers of synaptic processing by principal neurons in piriform cortex.,2011,http://neuroelectro.org/data_table/1661/,http://neuroelectro.org/article/35243/metadata/,Bekkers JM
128,nan,16.7,nan,nan,nan,Mice,C57BL,Patch-clamp,in vitro,,NaN,33,19.5,NaN,Olfactory cortex pyramidal cell,Interactions between Behaviorally Relevant Rhythms and Synaptic Plasticity Alter Coding in the Piriform Cortex.,2012,,http://neuroelectro.org/article/58759/metadata/,Urban NN
221.2,-67.2,26,76.2,0.74,-36,Mice,C57BL,Patch-clamp,in vitro,Not corrected,-7,34,21.5,NaN,Olfactory cortex semilunar cell,Two layers of synaptic processing by principal neurons in piriform cortex.,2011,http://neuroelectro.org/data_table/1661/,http://neuroelectro.org/article/35243/metadata/,Bekkers JM
244,nan,30.1,nan,nan,nan,Mice,C57BL,Patch-clamp,in vitro,,NaN,33,19.5,NaN,Olfactory cortex semilunar cell,Interactions between Behaviorally Relevant Rhythms and Synaptic Plasticity Alter Coding in the Piriform Cortex.,2012,,http://neuroelectro.org/article/58759/metadata/,Urban NN
